TRC,MRC,CRC,MTRC,i1,i2,i3,i4,Class
0.098765432,0.088888889,0.095238095,0.088888889,0,0,1,1,1
0.098765432,0.088888889,0.095238095,0.088888889,0,1,0,1,1
0.098765432,0.088888889,0.095238095,0.088888889,0,1,1,0,1
0.098765432,0.088888889,0.095238095,0.088888889,1,0,0,1,1
0.098765432,0.088888889,0.095238095,0.088888889,1,0,1,0,1
0.098765432,0.088888889,0.095238095,0.088888889,1,1,0,0,1
0.098765432,0.088888889,0.095238095,0.088888889,0.1,0.1,0.9,0.9,1
0.098765432,0.088888889,0.095238095,0.088888889,0.1,0.9,0.1,0.9,1
0.098765432,0.088888889,0.095238095,0.088888889,0.1,0.9,0.9,0.1,1
0.098765432,0.088888889,0.095238095,0.088888889,0.9,0.1,0.1,0.9,1
0.098765432,0.088888889,0.095238095,0.088888889,0.9,0.1,0.9,0.1,1
0.098765432,0.088888889,0.095238095,0.088888889,0.9,0.9,0.1,0.1,1
0.098765432,0.088888889,0.095238095,0.088888889,0.2,0.2,0.8,0.8,1
0.098765432,0.088888889,0.095238095,0.088888889,0.2,0.8,0.2,0.8,1
0.098765432,0.088888889,0.095238095,0.088888889,0.2,0.8,0.8,0.2,1
0.098765432,0.088888889,0.095238095,0.088888889,0.8,0.2,0.2,0.8,1
0.098765432,0.088888889,0.095238095,0.088888889,0.8,0.2,0.8,0.2,1
0.098765432,0.088888889,0.095238095,0.088888889,0.8,0.8,0.2,0.2,1
0.098765432,0.088888889,0.095238095,0.088888889,0.3,0.3,0.7,0.7,1
0.098765432,0.088888889,0.095238095,0.088888889,0.3,0.7,0.3,0.7,1
0.098765432,0.088888889,0.095238095,0.088888889,0.3,0.7,0.7,0.3,1
0.098765432,0.088888889,0.095238095,0.088888889,0.7,0.3,0.3,0.7,1
0.098765432,0.088888889,0.095238095,0.088888889,0.7,0.3,0.7,0.3,1
0.098765432,0.088888889,0.095238095,0.088888889,0.7,0.7,0.3,0.3,1
0.098765432,0.088888889,0.095238095,0.088888889,0.4,0.4,0.6,0.6,1
0.098765432,0.088888889,0.095238095,0.088888889,0.4,0.6,0.4,0.6,1
0.098765432,0.088888889,0.095238095,0.088888889,0.4,0.6,0.6,0.4,1
0.098765432,0.088888889,0.095238095,0.088888889,0.6,0.4,0.4,0.6,1
0.098765432,0.088888889,0.095238095,0.088888889,0.6,0.4,0.6,0.4,1
0.098765432,0.088888889,0.095238095,0.088888889,0.6,0.6,0.4,0.4,1
0.098765432,0.088888889,0.095238095,0.088888889,0,0.5,0.5,1,1
0.098765432,0.088888889,0.095238095,0.088888889,0,0.5,1,0.5,1
0.098765432,0.088888889,0.095238095,0.088888889,0,1,0.5,0.5,1
0.098765432,0.088888889,0.095238095,0.088888889,1,0,0.5,0.5,1
0.098765432,0.088888889,0.095238095,0.088888889,1,0.5,0,0.5,1
0.098765432,0.088888889,0.095238095,0.088888889,1,0.5,0.5,0,1
0.098765432,0.088888889,0.095238095,0.088888889,0.5,1,0.5,0,1
0.098765432,0.088888889,0.095238095,0.088888889,0.5,1,0,0.5,1
0.098765432,0.088888889,0.095238095,0.088888889,0.5,0.5,1,0,1
0.098765432,0.088888889,0.095238095,0.088888889,0.5,0,1,0.5,1
0.098765432,0.088888889,0.095238095,0.088888889,0.5,0.5,0,1,1
0.098765432,0.088888889,0.095238095,0.088888889,0.5,0,0.5,1,1
0.098765432,0.088888889,0.095238095,0.088888889,0.5,1,0.5,0,1
0.098765432,0.088888889,0.095238095,0.088888889,0.5,0.5,0.5,0.5,1
0.098765432,0.177777778,0.095238095,0.088888889,0,0,1,1,1
0.098765432,0.177777778,0.095238095,0.088888889,0,1,0,1,1
0.098765432,0.177777778,0.095238095,0.088888889,0,1,1,0,1
0.098765432,0.177777778,0.095238095,0.088888889,1,0,0,1,1
0.098765432,0.177777778,0.095238095,0.088888889,1,0,1,0,1
0.098765432,0.177777778,0.095238095,0.088888889,1,1,0,0,1
0.098765432,0.177777778,0.095238095,0.088888889,0.1,0.1,0.9,0.9,1
0.098765432,0.177777778,0.095238095,0.088888889,0.1,0.9,0.1,0.9,1
